horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)84.000 TL,2.)33.600 TL,3.)16.800 TL,4.)8.400 TL,1.)24.150 TL,2.)9.660 TL,3.)4.830 TL,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
1,ALKATTAN KG SK,3y k  e,TURBO,57,C.PASO AP,BİHTERCAN ATAÇ,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
2,YAVUZKEYF KG K,3y a  e,UÇANOĞLU,57 +0.20,A.ÇELİK,ADNAN TÜRKOĞLU,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
3,ÖRSKAN KG BB,3y k  e,ÖZGÜNHAN,57,H.KARATAŞ,ABDULLATİF BATMACI,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
4,BÜYÜK SARRAF KG,3y a  e,SARRAF,57 +0.70,M.KAYA,ALİ KARPUZ,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
5,CANOĞLUCAN KG SK,3y a  e,HIZLITAY,57,M.AKYAVUZ,MUHARREM CAN,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
6,GÜLSÜM SULTAN KG DB SK,3y k  d,BABA MEVLÜT,55,H.ÇİZİK,ALİ YILDIRIM,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
7,İSMAİLHANBEY KG,3y k  e,TURBO,57,A.ASLAN,DİLAN ATİK BATMAZ,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
8,ARIMAN KG DB,3y a  e,ÖZGÜNHAN,57,GÖKH.GÖKÇE,ZEKİ SÖKMEN,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
9,KOÇUM KG K,3y k  e,TURBO,57,S.BOYRAZ,KOSTANTİNOS MAKRİ,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
10,DİDOR KG K,3y a  d,ÖZGÜNHAN,55,F.ARSLAN AP,BERAT ŞİMŞEK,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
11,FENOMEN BEY KG DB SK,3y a  e,ŞEREFKAR,57,D.YILDIZ,MUHAMMET YAĞMURLU,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
12,GOCA BARTINLI KG K,3y k  e,UÇANOĞLU,57,F.YÜKSEL,FERHAT TOPUZ,﻿İstanbul,2021-10-01,1,,Çim,English,Friday
1.)66.000 TL,2.)26.400 TL,3.)13.200 TL,4.)6.600 TL,1.)11.385 TL,2.)4.554 TL,3.)2.277 TL,﻿İstanbul,2021-10-01,2,,,English,Friday
1,YOLDAŞHAN KG K DB,7y k  a,TURBO,"59,5",G.KOCAKAYA,ENGİN AKALTUN,﻿İstanbul,2021-10-01,2,,,English,Friday
2,KARAÇELİK KG SK GKR,6y d  a,KAIZBERT (RU),"57,5",M.AKYAVUZ,ŞEMSETTİN TOYDEMİR,﻿İstanbul,2021-10-01,2,,,English,Friday
3,KARAGÜL BEYİ KG DB SK GKR,6y a  a,ALTAHA,"55,5",Ö.YILDIRIM,MUSTAFA KARAGÜL,﻿İstanbul,2021-10-01,2,,,English,Friday
4,YALVAÇHAN KG DB SK,4y k  a,ONURKAAN,56,GÖKH.GÖKÇE,H.HAZAL KAYAHAN,﻿İstanbul,2021-10-01,2,,,English,Friday
5,DEMİRYILDIZ SK,5y k k,TOŞUR,"53,5 +2.00",G.YILDIZ,İBRAHİM HALİL YILDIZ,﻿İstanbul,2021-10-01,2,,,English,Friday
