horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)54.000 TL,2.)21.600 TL,3.)10.800 TL,4.)5.400 TL,1.)9.315 TL,2.)3.726 TL,3.)1.863 TL,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
1,GÖKÇEKIZ KG K DB,4y k k,SARUHANAĞA,54,M.K.KUMBASAR,ŞEREF ATLI,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
2,ENGEREK KG DB SK GKR,4y a k,KAIZBERT (RU),54 +2.00,E.ÇANKAYA AP,FEHMİ DEMİR,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
3,MELİKENUR DB SKG SK,4y k k,BİLGİN,56 +1.90,M.KAYA,AHMET AYDOĞDİ,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
4,HİSARKIZ K DB,4y a k,HİSARBEY,55 +1.90,V.DEMİR,CELAL KAYA,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
5,ÖZDEMİRGÜLÜ KG K,4y a k,GELİBOLU,58,MAHSUN TURAN,ZEKİ DOĞAN,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
6,GÜNIŞIK HANIM KG K,4y a k,ODİNHAN,51 +2.00,N.DEMİR AP,HALİL FELHAN,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
7,SUZANİ KG SK,4y k k,GOBAKBEY,52 +2.00,A.AKDEMİR AP,AZMİ KURTULUŞ KAYA,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
8,AYZA HANIM KG DB,4y k k,UÇBEYİ,60,F.R.BEBEK,SABRİ DAĞYUDAN,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
9,MANOLYA DB,4y a k,UÇANOĞLU,54 +1.00,M.ÖZDEMİR AP,M.GARİP ELĞAÇ,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
10,HADİYE SULTAN DB SK,4y a k,KAANEFE,58,A.KURŞUN,BAĞNU EĞİLLİ,﻿Adana,2021-11-02,1,,Kum,English,Tuesday
1.)60.000 TL,2.)24.000 TL,3.)12.000 TL,4.)6.000 TL,1.)17.250 TL,2.)6.900 TL,3.)3.450 TL,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
1,İLKNURUM K SKG,3y d  d,PAYİDARBEY,55 +1.00,F.R.BEBEK,MUSTAFA YARDIMCI,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
2,DESTANSI KG DB SK,3y a  d,KAIZBERT (RU),55,M.K.KUMBASAR,SARAÇ TURAN,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
3,KIRSALDA KG SK,3y k  d,AĞA KARACA,55 +2.00,V.DEMİR,LAMİ KATI,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
4,KAFKASLI FIRTINASI KG K DB,3y k  d,ERGÖKÇE,55,HAKAN YILDIZ,BEŞİR KAYA,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
5,HIZIRIN OĞLU KG DB SK,3y k  e,ŞİMŞEĞİNOĞLU,53 +0.40,N.DEMİR AP,SERHAT ŞAHİN,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
6,İLK KURŞUN KG DB,3y d  e,KURTEL,57,E.SİNCAN,ASİYE YILDIZ,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
7,SEİSİN YAVUZU KG SK,3y a  d,KADİRİM,55,A.KAÇMAZ,HAKAN ŞAHİN,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
8,SERECELİ KG SK,3y k  e,NİTRO,53,M.ŞAKİR AP,F.SEDAT DAĞYUDAN,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
9,CİĞERİM GARDAŞIM KG,3y k  e,EZRA,53,M.KIYAK AP,BEŞİR KAYA,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
10,ADIMGÜNEŞ KG K,3y k  d,AĞA KARACA,51 +0.20,D.KİP AP,MEHMET TAHİR AKSOY,﻿Adana,2021-11-02,2,,Kum,English,Tuesday
