horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)52.500 TL,2.)21.000 TL,3.)10.500 TL,4.)5.250 TL,1.)9.056 TL,2.)3.623 TL,3.)1.811 TL,﻿İzmir,2022-02-04,1,,Kum,English,Friday
1,RIO KG DB SK,4y d  a,TALIP HAN (IRE),50 +1.00,D.PALAUR,ZEKİYE DOĞANTÜRK,﻿İzmir,2022-02-04,1,,Kum,English,Friday
2,SÜPER BABA SK,6y d  a,DERVİŞ AĞA,61,MUH.OK AP,SABAHATTİN YAVUZ,﻿İzmir,2022-02-04,1,,Kum,English,Friday
3,ROCKY BOY KG SK,5y d  a,APPROVE (IRE),"58,5",N.AVCİ,TAHİR GÜN,﻿İzmir,2022-02-04,1,,Kum,English,Friday
4,BLUE THUNDER KG DB SK SGKR,5y d  a,VICTORY GALLOP (CAN),53,G.ÖZÇELİK AP,ALİ ALAN,﻿İzmir,2022-02-04,1,,Kum,English,Friday
5,POWER OFF KG DB,7y d  a,POWERSCOURT (GB),58,H.ŞİMŞEK,ORHAN DURMUŞ,﻿İzmir,2022-02-04,1,,Kum,English,Friday
6,LIBERTADOR K,4y d  a,PLEASANTLY PERFECT (USA),58,GÖKH.GÖKÇE,ALPASLAN DEDEOĞLU,﻿İzmir,2022-02-04,1,,Kum,English,Friday
7,BY NUSRET KG K,4y d  a,TOCCET (USA),51 +2.00,M.M.BİLGİN,MUSTAFA ADALAR,﻿İzmir,2022-02-04,1,,Kum,English,Friday
8,HİKMET AĞA KG,4y d  a,JUSTENUFFHUMOR (USA),50 +2.00,E.AKTUĞ AP,MEHMET ARICI,﻿İzmir,2022-02-04,1,,Kum,English,Friday
9,WONDERKID DB SK,5y a  a,LION HEART (USA),50 +2.00,A.KÜRÜNDÜK,ERDEM KÖZLEME,﻿İzmir,2022-02-04,1,,Kum,English,Friday
10,TUNÇ STAR KG K,4y d  a,YONAGUSKA (USA),50 +2.00,A.C.DAĞDEVİREN,ENGİN TEPE,﻿İzmir,2022-02-04,1,,Kum,English,Friday
11,AYVALIKATEŞİ SK (Koşmaz),4y a  a,TALIP HAN (IRE),59,M.ÇİÇEK,YİĞİT AKIN,﻿İzmir,2022-02-04,1,,Kum,English,Friday
1.)68.000 TL,2.)27.200 TL,3.)13.600 TL,4.)6.800 TL,1.)15.640 TL,2.)6.256 TL,3.)3.128 TL,﻿İzmir,2022-02-04,2,,Kum,English,Friday
1,RED JUSTEN SK,3y a  e,JUSTENUFFHUMOR (USA),56,G.ÖZÇELİK AP,ALP Ş. EVCİMEN,﻿İzmir,2022-02-04,2,,Kum,English,Friday
2,BIG WINNER DB SKG SK YP,3y d  e,PAPA CLEM (USA),58,M.ÇİÇEK,M.SELİM GÜLEŞEN,﻿İzmir,2022-02-04,2,,Kum,English,Friday
3,CAN KRAL KG DB SK,3y d  e,GENERAL QUARTERS (USA),58 +0.10,B.KURDU,AYHAN ATEŞ,﻿İzmir,2022-02-04,2,,Kum,English,Friday
4,FOUR STROKE SKG SK,3y d  e,SMART ROBIN (JPN),55,MUH.OK AP,ENGİN ATEŞLER,﻿İzmir,2022-02-04,2,,Kum,English,Friday
5,DAHAP KG SK GKR,3y d  e,NİĞDELİ,58,S.ÖZEN,ALİ ÇELİK,﻿İzmir,2022-02-04,2,,Kum,English,Friday
6,KORDELYA KG DB SK,3y d  d,PAPA CLEM (USA),56,A.KÜRÜNDÜK,SABAHATTİN YAVUZ,﻿İzmir,2022-02-04,2,,Kum,English,Friday
7,STRONG BERYL KG DB SK,3y d  d,VICTORY GALLOP (CAN),56,O.YILDIZ,ŞÜKRÜYE ADIŞEN,﻿İzmir,2022-02-04,2,,Kum,English,Friday
8,RAVELAS,3y d  e,TEMELHAN,58,M.M.BİLGİN,AYHAN AKTAŞ,﻿İzmir,2022-02-04,2,,Kum,English,Friday
9,KARAPUS KG K,3y d  e,SMART ROBIN (JPN),58,H.ŞİMŞEK,SERDAR ÜZÜM,﻿İzmir,2022-02-04,2,,Kum,English,Friday
10,READY TEDDY KG SK,3y d  e,VALENTIN,58,N.AVCİ,SELİN DİKENCİK,﻿İzmir,2022-02-04,2,,Kum,English,Friday
11,TENEKECİALİ KG DB SK,3y d  e,HIZEL BEYİ,54,O.KIZILDAŞ AP,FIRAT KARACA,﻿İzmir,2022-02-04,2,,Kum,English,Friday
1.)62.000 TL,2.)24.800 TL,3.)12.400 TL,4.)6.200 TL,1.)10.695 TL,2.)4.278 TL,3.)2.139 TL,﻿İzmir,2022-02-04,3,,Kum,English,Friday
1,ÖZEKAN KG,7y k  a,TAMERİNOĞLU,56,K.YILMAZ,M.ELİSABETH KURA,﻿İzmir,2022-02-04,3,,Kum,English,Friday
2,ILDIRLI KG DB,6y a  a,TURBO,56 +0.10,M.KAYİŞ,DENİZ KURTEL,﻿İzmir,2022-02-04,3,,Kum,English,Friday
3,BÜTÜNAY KG,8y k  a,TAMERİNOĞLU,57,K.GÖKÇE,TARKAN H. ONAR,﻿İzmir,2022-02-04,3,,Kum,English,Friday
