horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)217.000 TL,2.)86.800 TL,3.)43.400 TL,4.)21.700 TL,1.)62.388 TL,2.)24.955 TL,3.)12.478 TL,﻿Antalya,2024-12-10,1,,Kum,English,Tuesday
1,ÖZGÜLEN GÜZELİ KG K,3y k  d,YILMABAŞAR,57 +1.60,M.KAYA,BEKİR CANPOLAT,﻿Antalya,2024-12-10,1,,Kum,English,Tuesday
2,FERAYIM KG,3y a  d,UÇANOĞLU,57 +2.00,AH.ARSLAN,KEMAL ALTIN,﻿Antalya,2024-12-10,1,,Kum,English,Tuesday
3,SOYLU YARİM KG SK,3y a  d,BİLGEKURT,53,G.KAYIP AP,ÖMER ALTIN,﻿Antalya,2024-12-10,1,,Kum,English,Tuesday
4,ASLIHAN HATUN KG DB SK,3y d  d,ULUER,57,B.AKÇAY,HAKAN ÖZDEMİR,﻿Antalya,2024-12-10,1,,Kum,English,Tuesday
5,DERİNAŞK KG SK GKR,3y k  d,DİLİRAN,54 +1.90,T.SEBİCİ AP,ABUZER TUNÇER,﻿Antalya,2024-12-10,1,,Kum,English,Tuesday
6,ELİF EYLÜL KG DB SK,3y k  d,CANGIL,56,O.AÇAR AP,ESEN KARANLIK,﻿Antalya,2024-12-10,1,,Kum,English,Tuesday
7,ALTINSAÇ KG K DB,3y k  d,SEMEND,57,MER.ÇELİK,HEDİYE POLAT,﻿Antalya,2024-12-10,1,,Kum,English,Tuesday
8,İDİLAŞAN KG K DB,3y a  d,SAADIN GÜCÜ,53 +0.90,E.D.ÖKTEN AP,GÜLTEKİN ARICI,﻿Antalya,2024-12-10,1,,Kum,English,Tuesday
1.)177.000 TL,2.)70.800 TL,3.)35.400 TL,4.)17.700 TL,1.)30.533 TL,2.)12.213 TL,3.)6.107 TL,﻿Antalya,2024-12-10,2,,Kum,English,Tuesday
1,LONDON POWER KG ÖG,4y d k,CUVEE (USA),58,B.AKÇAY,RUKEN ATAŞ,﻿Antalya,2024-12-10,2,,Kum,English,Tuesday
2,GULIYEV DB SKG SK,6y d  g,CUVEE (USA),59,M.KAYA,MUSA GÜNDÜZELİ,﻿Antalya,2024-12-10,2,,Kum,English,Tuesday
3,WORTH AVENUE K,3y d  d,DAREDEVIL (USA),53,S.TIRPAN,ONUR EKİCİ,﻿Antalya,2024-12-10,2,,Kum,English,Tuesday
4,ATLIKAYA KG DB SK,4y d  a,CUVEE (USA),58 +0.20,SER.YILDIZ AP,HALİL ÇANKAYA,﻿Antalya,2024-12-10,2,,Kum,English,Tuesday
5,JOUSKA KG SK,3y d  d,MENDIP (USA),57 +1.30,H.POLAT,AHMET DİLMAÇ,﻿Antalya,2024-12-10,2,,Kum,English,Tuesday
6,SWEETY BELLA KG K DB,6y d k,DEHA,53 +1.80,MAH.TURAN,MURAT AYDIN,﻿Antalya,2024-12-10,2,,Kum,English,Tuesday
1.)217.000 TL,2.)86.800 TL,3.)43.400 TL,4.)21.700 TL,1.)62.388 TL,2.)24.955 TL,3.)12.478 TL,﻿Antalya,2024-12-10,3,,Kum,English,Tuesday
1,AYPEYKER K DB,3y a  d,AYABAKAN,57 +1.30,H.POLAT,FERAT ÖZKAN,﻿Antalya,2024-12-10,3,,Kum,English,Tuesday
2,TELVE KG DB,3y k  d,FİRİKYA,57,MAH.TURAN,AHMET KORKMAZ,﻿Antalya,2024-12-10,3,,Kum,English,Tuesday
3,KARACA DÜNYA KG K,3y a  d,ABUŞ,57,U.TEMUR,E.KAYHAN ERGİN,﻿Antalya,2024-12-10,3,,Kum,English,Tuesday
4,YILMAŞAHANEM KG DB SK,3y k  d,YILMABAŞAR,54 +1.00,F.KARAKURT AP,FERİT SARAK,﻿Antalya,2024-12-10,3,,Kum,English,Tuesday
5,SELMACAN KG K,3y d  d,ORÇUN,54 +1.90,E.AKPINAR AP,MUHARREM CAN,﻿Antalya,2024-12-10,3,,Kum,English,Tuesday
6,YAMAN GÜZELİ KG DB SK,3y a  d,SERHANTAY,53,G.KAYIP AP,İSMET POLAT,﻿Antalya,2024-12-10,3,,Kum,English,Tuesday
7,BALIKÇI KRALİÇE KG SK,3y k  d,ANKA,54,İ.S.SÖĞÜT AP,ESEN KARANLIK,﻿Antalya,2024-12-10,3,,Kum,English,Tuesday
