horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1,ISNEAUVILLE,3y d d,LE HAVRE,"56,5",MANON GERMAIN,G.AUGUSTIN-NORMAND /,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
2,ASHERAH,3y d d,WOODED,58,ANTONIO ORANI,ERIKA GILLIAR,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
3,DALYNSKA,3y d d,ALMANZOR,"56,5",CORALIE PACAUT,ALAIN JATHIERE,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
4,SOHO YORK,3y d d,MENDELSSOHN,58,HUGO BESNIER,HARAS ASSIRO,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
5,GRECIAN COMET,3y d d,MAKE BELIEVE,58,CRISTIAN DEMURO,C.KAIRIS/TOLMI RACIN,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
6,MILENA,3y a d,KENDARGENT,58,TONY PICCONE,WESTMINSTER RACE HOR,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
7,BORNAWAY (IRE),3y k d,GALIWAY,58,MAXIME GUYON,WERTHEIMER & FRERE,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
8,COULD BE DB,3y d d,BOW CREEK,58,THEO BACHELOT,JAN ROMEL,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
1,MAKE A WISH KG,4y d k,MORANDI,60,MAXIME GUYON,HUGUES ROUSSEAU,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
2,FOREVER GIVEN KG DB,4y y a,SEA THE STARS,58,RONAN THOMAS,HARAS DE LA PERELLE,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
3,GANT,4y a a,MANDURO,"56,5",TONY PICCONE,WESTMINSTER RACE HOR,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
4,GANASS,4y d a,CLOTH OF STARS,"59,5",CRISTIAN DEMURO,HEDI GHABRI,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
5,GOWAY,4y d g,GOKEN,58,ANTHONY CRASTUS,G.AUGUSTIN-NORMAND/G,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
6,KIND OF STAR YP,4y d g,CLOTH OF STARS,"55,5",EDDY HARDOUIN,DENIS MORDENTI,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
7,BLACK GANGSTER,4y a a,CITY LIGHT,"58,5",GUILLAUME GUEDJ-GAY,TOBIAS JONES,﻿Cagnes Sur Mer Fransa,2025-01-13,1,,Çim,English,Monday
