horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1,ABSOLUTELYFLAWLESS,3y d d,RIBCHESTER (IRE),"61,5",D MUSCUTT,DAVİD LOWE,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
2,DUE DATE,3y d e,DUE DILIGENCE (USA),58,J FAHY,MR NURLAN BİZAKOV,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
3,TALLULAH MYLA (IRE),3y d d,OASIS DREAM,"60,5",M GHİANİ,OPULENCE THOROUGHBRE,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
4,RAZZAM (IRE),3y a e,SHOWCASING,"60,5",R DAWSON,MR HASAN MEFAREH ALA,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
5,OVERNIGHT OATS,3y d e,MUHAARAR,"61,5",P J MCDONALD,WEDGWELL PARTNERS,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
6,DEBATER,3y a d,NO NAY NEVER (USA),57,H DAVİES,ISA SALMAN AL KHALİF,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
7,IGNAC LAMAR (IRE),3y d e,DANDY MAN (IRE),60,O SEARLE,CROWN CONNOİSSEURS,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
8,JUNGLE FEVER (IRE),3y d e,BUNGLE INTHEJUNGLE,59,F NORTON,KİNGSLEY PARK 28 - G,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
9,MISS AMERICAN PIE,3y d d,CAMACHO,60,L KENİRY,MİSS A JONES,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
10,FITZROY RIVER,3y d d,OASIS DREAM,58,D O'NEİLL,THE EARL CADOGAN,﻿Wolverhampton Birleşik Krallık,2023-05-15,1,,,English,Monday
1,MARIAMNE,2y k d,DANDY MAN (IRE),"57,5",D MUSCUTT,HASMONEAN RACİNG AND,﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
2,LADY SHOWCASING,2y d d,SHOWCASING,58,F NORTON,MR JABER ABDULLAH,﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
3,PEACE WALL (IRE),2y d d,CAMACHO,58,J MİTCHELL,KPF BLOODSTOCK LTD,﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
4,MEDIATE ALEXANDER (IRE),2y d d,KODIAC,58,J FAHY,MR NOEL O'CALLAGHAN,﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
5,ADAAY IN DEVON,2y d d,ADAAY (IRE),58,R COAKLEY,HORNİWİNKS RACİNG SY,﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
6,FISTRAL BEACH (IRE),2y d d,NEW BAY,58,BİLLY LOUGHNANE,"WİLLİAMS, TOWNBRACCA",﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
7,MATCH THAT (IRE),2y a d,DANDY MAN (IRE),"57,5",B ROBİNSON,BRONTE COLLECTİON 1,﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
8,VILLAS BULLET (IRE),2y d d,JAMES GARFIELD (IRE),"57,5",K O'NEİLL,"LEE TURLAND, BRUİSER",﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
9,LADY OF AFRICA (IRE) DB,2y d d,CAMACHO,"57,5",H DOYLE,"MR T EDWARDS, MR C D",﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
10,NAVAL FLIGHT (IRE),2y d d,U S NAVY FLAG (USA),58,R OLİVER,Y O R C SYNDİCATE 1,﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
11,SHAH OF THE ISLE,2y d d,EQUIANO (FR),"57,5",M GHİANİ,"R POPELY, HCS, C ROB",﻿Wolverhampton Birleşik Krallık,2023-05-15,2,,,English,Monday
1,MAJESTIC WARRIOR (IRE),3y a e,CHURCHILL (IRE),"62,5",N CALLAN,MR SAEED MANANA,﻿Wolverhampton Birleşik Krallık,2023-05-15,3,,,English,Monday
2,INTRICACY,3y d e,DUBAWI (IRE),"62,5",JAMES DOYLE,KHK RACİNG,﻿Wolverhampton Birleşik Krallık,2023-05-15,3,,,English,Monday
3,LOVING FEELING,3y d e,SEA THE STARS (IRE),59,R HAVLİN,NORMANDİE STUD LTD,﻿Wolverhampton Birleşik Krallık,2023-05-15,3,,,English,Monday
4,ROYAL DEESIDE,3y d e,CHURCHILL (IRE),59,D PROBERT,MR J LAW,﻿Wolverhampton Birleşik Krallık,2023-05-15,3,,,English,Monday
1,ANIMATE (IRE),3y d e,SHAMARDAL (USA),"61,5",JAMES DOYLE,SHEİKH RASHİD DALMOO,﻿Wolverhampton Birleşik Krallık,2023-05-15,4,,,English,Monday
2,SUPASPECIALAWESOME (IRE),3y a e,COTAI GLORY,"57,5",R COAKLEY,PETE & SUE MAGUİRE,﻿Wolverhampton Birleşik Krallık,2023-05-15,4,,,English,Monday
3,BOY BROWNING,3y d e,BRAZEN BEAU (AUS),"59,5",H DOYLE,HP RACİNG BOY BROWNİ,﻿Wolverhampton Birleşik Krallık,2023-05-15,4,,,English,Monday
4,MAGICAL MERLIN (IRE),3y k e,KODIAC,"58,5",D PROBERT,PAUL INGLETT AND BEC,﻿Wolverhampton Birleşik Krallık,2023-05-15,4,,,English,Monday
5,HONEYMOONER (IRE),3y k d,MASTERCRAFTSMAN (IRE),"54,5",GEORGİA DOBİE,MR C L A EDGİNTON &,﻿Wolverhampton Birleşik Krallık,2023-05-15,4,,,English,Monday
1,CALIN'S LAD,8y a a,EQUIANO (FR),"62,5",N CALLAN,LYCETT RACİNG LTD,﻿Wolverhampton Birleşik Krallık,2023-05-15,5,,,English,Monday
2,CATESBY,6y d a,SLADE POWER (IRE),"56,5",ELİSHA WHİTTİNGTON,SCOTT DİXON RACİNG P,﻿Wolverhampton Birleşik Krallık,2023-05-15,5,,,English,Monday
3,BOBBY JOE LEG KG,9y a a,PASTORAL PURSUITS,"59,5",L MORRİS,MRS ANGELA CLARK,﻿Wolverhampton Birleşik Krallık,2023-05-15,5,,,English,Monday
4,AMBER DEW,4y d k,SHOWCASING,"60,5",K O'NEİLL,CHAPPELL & DİXON,﻿Wolverhampton Birleşik Krallık,2023-05-15,5,,,English,Monday
5,RUMNOTRED,4y d a,COACH HOUSE (IRE),60,C FALLON,MATT WATKİNSON RACİN,﻿Wolverhampton Birleşik Krallık,2023-05-15,5,,,English,Monday
6,MASHAAN,5y d a,KODIAC,"58,5",D PROBERT,BOURTON RACİNG,﻿Wolverhampton Birleşik Krallık,2023-05-15,5,,,English,Monday
7,GLOBAL ROMANCE (IRE) K DB,4y a k,IFFRAAJ,60,H BURNS,DR JOHNNY HON,﻿Wolverhampton Birleşik Krallık,2023-05-15,5,,,English,Monday
8,NEFARIOUS (IRE),7y k a,ZEBEDEE,58,H DOYLE,"R MOSS, H REDKNAPP",﻿Wolverhampton Birleşik Krallık,2023-05-15,5,,,English,Monday
1,IT'S A LOVE THING,5y d a,INTRINSIC,61,G WOOD,MR DANİEL PİTTACK,﻿Wolverhampton Birleşik Krallık,2023-05-15,6,,,English,Monday
2,CAREY STREET (IRE) YP,7y d a,BUNGLE INTHEJUNGLE,"61,5",H DOYLE,P G SHORROCK & L STU,﻿Wolverhampton Birleşik Krallık,2023-05-15,6,,,English,Monday
3,BARNEY'S ANGEL,4y d a,ARDAD (IRE),"62,5",C FALLON,MR IAN WİLLİAMS,﻿Wolverhampton Birleşik Krallık,2023-05-15,6,,,English,Monday
4,COME TO PASS (IRE),4y a a,MASTERCRAFTSMAN (IRE),"57,5",L MORRİS,NORTHWAY LODGE RACİN,﻿Wolverhampton Birleşik Krallık,2023-05-15,6,,,English,Monday
5,FITZROVIA,8y a a,POET'S VOICE,61,T WHELAN,CLARİSSA CASDAGLİ &,﻿Wolverhampton Birleşik Krallık,2023-05-15,6,,,English,Monday
6,HOPEFORTHEBEST DB YP,4y a a,HELMET (AUS),"58,5",GEORGIA DOBIE,MR JIM GILL,﻿Wolverhampton Birleşik Krallık,2023-05-15,6,,,English,Monday
7,ROSE CAMIRA (Koşmaz),4y d k,CAMELOT,"60,5",D PROBERT,MS ROMANA GRUBMULLER,﻿Wolverhampton Birleşik Krallık,2023-05-15,6,,,English,Monday
8,SUN FESTIVAL YP (Koşmaz),5y d a,TORONADO (IRE),"55,5",J MITCHELL,MR J E PARR,﻿Wolverhampton Birleşik Krallık,2023-05-15,6,,,English,Monday
1,COME ON JOHN (IRE) YP,4y d a,KODIAC,62,R HAVLIN,THE ATTWATER PARTNER,﻿Wolverhampton Birleşik Krallık,2023-05-15,7,,,English,Monday
2,HELLAVAPACE KG,5y k k,HELLVELYN,62,OLİVİA TUBB,FİLLİES FİRST,﻿Wolverhampton Birleşik Krallık,2023-05-15,7,,,English,Monday
3,POP FAVORITE KG,5y d a,FASTNET ROCK (AUS),"57,5",ELİSHA WHİTTİNGTON,SOUTHWELL RACİNG CLU,﻿Wolverhampton Birleşik Krallık,2023-05-15,7,,,English,Monday
4,STARRY EYES (USA),7y a k,ANIMAL KINGDOM (USA),"60,5",D MUSCUTT,JEFF DANİELS AND KES,﻿Wolverhampton Birleşik Krallık,2023-05-15,7,,,English,Monday
5,RECUERDAME (USA),7y d a,THE FACTOR (USA),"61,5",H DOYLE,MR ROBERT MOSS,﻿Wolverhampton Birleşik Krallık,2023-05-15,7,,,English,Monday
6,ZOFFANY PORTRAIT (IRE) KG,4y a a,ZOFFANY (IRE),"60,5",L MORRİS,MR M S COOKE & PARTN,﻿Wolverhampton Birleşik Krallık,2023-05-15,7,,,English,Monday
7,HARBOUR PROJECT KG,6y d a,HARBOUR WATCH (IRE),"57,5",N CALLAN,MR A W CARROLL,﻿Wolverhampton Birleşik Krallık,2023-05-15,7,,,English,Monday
8,ORDER OF ST JOHN YP,6y d a,COACH HOUSE (IRE),60,D PROBERT,RUPERT FROST AND ED,﻿Wolverhampton Birleşik Krallık,2023-05-15,7,,,English,Monday
