horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)45.500 TL,2.)18.200 TL,3.)9.100 TL,4.)4.550 TL,1.)13.081 TL,2.)5.233 TL,3.)2.616 TL,﻿Şanlıurfa,2022-07-16,1,,Kum,English,Saturday
1,QUEEN INTO KG K DB,2y a  d,LION HEART (USA),58,M.AVŞAR,HALİL YILMAZER,﻿Şanlıurfa,2022-07-16,1,,Kum,English,Saturday
2,İBOCAN KG DB SK,2y a  e,GÜNGÖR BABA,57 +0.10,N.ALTIN,ETHEM KAPLAN,﻿Şanlıurfa,2022-07-16,1,,Kum,English,Saturday
3,GECENİN EFENDİSİ KG SK,2y d  e,GÜNGÖR BABA,56 +1.50,AH.ARSLAN,COŞKUN ŞİMŞEK,﻿Şanlıurfa,2022-07-16,1,,Kum,English,Saturday
4,LAST RULER KG K,2y d  e,GÜNGÖR BABA,57,M.E.DOĞAN,ZEYNEP DOĞAN,﻿Şanlıurfa,2022-07-16,1,,Kum,English,Saturday
5,HIZLI ZELİŞ KG K,2y d  d,BOSPORUS (IRE),54 +2.00,İ.KATAR AP,HÜSEYİN BECENE,﻿Şanlıurfa,2022-07-16,1,,Kum,English,Saturday
6,BERTİKIZI K DB,2y d  d,PERFECTO,54 +2.00,H.ALTUNDAĞ AP,MEHMET EMİN DEMİRKAPU,﻿Şanlıurfa,2022-07-16,1,,Kum,English,Saturday
1.)37.000 TL,2.)14.800 TL,3.)7.400 TL,4.)3.700 TL,1.)6.383 TL,2.)2.553 TL,3.)1.277 TL,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
1,KIFAN GÜLÜ KG,4y a k,ATİKBEY,59,Y.CENGİZ AP,MEHMET UÇAR,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
2,SİBO KG SK,4y a k,ŞİMŞEĞİNOĞLU,58,N.ALTIN,BAKIR FELHAN,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
3,MÜLAYİM KG DB SK,4y k k,KAIZBERT (RU),"58,5",F.ÇETİNBAŞ AP,ŞEMSETTİN TOYDEMİR,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
4,KIR AVCISI KG K,4y k k,YAKUPBEY,55,M.ŞAKİR AP,NİHAT TURAN,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
5,KÜLÜNÇEGÜZELİ DB SKG SK,4y k k,BERKSOY,54 +2.00,M.IŞIK AP,ÖMER KARAÇİZMELİ,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
6,YENİ GELİN K DB SKG,4y k k,KIRIMHAN,51 +0.30,A.H.BAYAR AP,MURAT ÇİZİK,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
7,UÇAN NİSA SK,4y a k,UÇANBEY,60,H.ALTUNDAĞ AP,BEKİR ÜNLÜ,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
8,BADILLI RÜZGAR KG DB SK,4y k k,MERT MELİH,53 +2.00,Y.ÇELİKBAŞ AP,MUSTAFA KATI,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
9,NESLİNUR,4y a k,ORÇUN,"52,5 +2.00",A.ÇANKAYA AP,MEHMET DEMİRKAPI,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
10,KÖY KG K,4y a k,BERKSOY,54 +2.00,İ.KATAR AP,VEYSEL KELEŞABDİOĞLU,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
11,ÇİNLİYAR KG DB,4y k k,UÇANBEY,52 +2.00,S.ULUTAŞ AP,MEHMET GÜMÜŞKOLAN,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
12,AIR GIRL KG DB SK,4y k k,DEMİRDÖVEN,"55,5 +1.20",M.AVŞAR,ERTAN SEVEN,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
13,LEYLA SULTANIM KG DB SK,4y k k,KAIZBERT (RU),56 +0.40,M.E.DOĞAN,HAKKI GÜLAL,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
14,SARI SEFER K,4y a k,UÇANBEY,50 +2.00,C.A.MAYDA AP,HALİL FELHAN,﻿Şanlıurfa,2022-07-16,2,,Kum,English,Saturday
1.)45.500 TL,2.)18.200 TL,3.)9.100 TL,4.)4.550 TL,1.)7.849 TL,2.)3.140 TL,3.)1.570 TL,﻿Şanlıurfa,2022-07-16,3,,Kum,English,Saturday
1,TAKİPETBENİ KG SK,7y d  a,INDIGO RED (GB),54 +2.00,M.IŞIK AP,ZEYNEP DOĞAN,﻿Şanlıurfa,2022-07-16,3,,Kum,English,Saturday
2,WALTZ GOES ON SKG SK,5y d k,HALICARNASSUS (IRE),55 +0.60,A.ÇANKAYA AP,İDRİS ÜNLÜ,﻿Şanlıurfa,2022-07-16,3,,Kum,English,Saturday
