horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)68.000 TL,2.)27.200 TL,3.)13.600 TL,4.)6.800 TL,1.)11.730 TL,2.)4.692 TL,3.)2.346 TL,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
1,CAPTAIN ANGEL K DB,4y d  a,CAPTAIN RIO (GB),56 +0.40,T.ALICI,ERSAN ÇALIK,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
2,LORD OF TIME SKG SK,7y d  a,SEA HERO (USA),53 +2.00,O.YILDIZ,FİKRET GÜNER,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
3,HAVE A NICE TRIP K DB,6y d  a,CAPTAIN RIO (GB),55,F.ARSLAN AP,ATİLLA BAŞ,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
4,ARCHIE KG K,6y a  a,BELMONT,60,Z.KARABULUT AP,MAHMUT GÜLGÜL,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
5,JIBGA SKG SK,6y d k,WOLF BLOOD,58 +0.10,U.BARLIK,SAMET KOBAŞ,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
6,RED CLOUD SK,4y a k,DR FONG (USA),57,M.M.BİLGİN,AYKUN GÜLLÜK,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
7,ANADOLUKAYA KG SK,3y d  e,CASH AKÇE,55,E.AKTUĞ AP,BEŞİR KAYA,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
8,TÜZSAN KG K,4y d  a,MENDIP (USA),53 +2.00,A.ŞENBAHAR AP,HASAN ÇİFTÇİDURMAZ,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
9,AKDAĞ FIRTINASI SKG SK,6y a  a,INDIAN DAYS (GB),56 +0.40,F.YÜKSEL,HAMİT EMEKTAR,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
10,TURGAYBAŞKAN KG DB SK,6y a  a,LION HEART (USA),58,H.KAPLAN,LÜTFİ TURAN,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
11,FRANKENSTEIN SKG SK,7y d  a,REY DE CAFE (USA),55 +0.20,Y.E.YÜKSEL AP,SELİN DİKENCİK,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
12,SKARLATOS DB SKG SK,4y d  a,MENDIP (USA),58,H.ŞİMŞEK,CEYLANİ YETKİN,﻿Kocaeli,2022-08-16,1,,Kum,English,Tuesday
1.)63.000 TL,2.)25.200 TL,3.)12.600 TL,4.)6.300 TL,1.)18.113 TL,2.)7.245 TL,3.)3.623 TL,﻿Kocaeli,2022-08-16,2,,Kum,English,Tuesday
1,SPRING CODE SKG SK,2y d  d,HONOR CODE (USA),57,G.ÖZÇELİK,KAAN TURAN YURDABAK,﻿Kocaeli,2022-08-16,2,,Kum,English,Tuesday
2,LADY ZEPHYRUS SK,2y d  d,POWERSCOURT (GB),57,N.AVCİ,SACİT ÖZER,﻿Kocaeli,2022-08-16,2,,Kum,English,Tuesday
3,DORUQ K GKR,2y a  d,CORINTHIAN (USA),57,H.ŞİMŞEK,FERHAT ÇELİK,﻿Kocaeli,2022-08-16,2,,Kum,English,Tuesday
4,ROSE OF ROCK,2y d  d,NATHANIEL (IRE),56 +1.50,M.KAYA,ELİF KAYA,﻿Kocaeli,2022-08-16,2,,Kum,English,Tuesday
5,CANDY RAİN K,2y d  d,WIN RIVER WIN (USA),52 +2.00,F.ARSLAN AP,MAHMUT YARDIMCI,﻿Kocaeli,2022-08-16,2,,Kum,English,Tuesday
6,KOŞRUMO KG SK,2y d  d,AMERİKALI,54 +1.50,Z.KARABULUT AP,MUSTAFA ERGÜR,﻿Kocaeli,2022-08-16,2,,Kum,English,Tuesday
1.)74.500 TL,2.)29.800 TL,3.)14.900 TL,4.)7.450 TL,1.)21.419 TL,2.)8.568 TL,3.)4.284 TL,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
1,PİŞMAN AĞA KG K,3y k  e,KOPUZ,57,F.ARSLAN AP,ÜMİT ARSLAN,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
2,GÜROBASI KG SK,3y k  e,AYABAKAN,56,C.PASO AP,TEKİN BİRİCİK,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
3,HAŞMETLİM DB SK GKR,3y k  e,HIZLITAY,55 +1.10,K.TOKAÇOĞLU,MUSTAFA AKGÜN,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
4,GÜLERCE HAN KG K,3y k  e,GÜNTAY,57,MER.ÇELİK,MURAT AKÇA,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
5,UÇAN KAFKASLI KG SK,3y a  e,KAIZBERT (RU),57 +0.50,M.KAYA,BEŞİR KAYA,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
6,KİLEYİK KG DB,3y d  e,KARA YAĞIZ,55 +0.20,GÖKH.GÖKÇE,ERKAN YAYMAN,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
7,BABASOY KG K,3y a  e,ATAKANKAYA,53 +0.90,E.AKTUĞ AP,EMİNE ALTIN,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
8,AKHAL TEKE KG,3y a  e,ÖZGÜNKAN,59,M.M.BİLGİN,AHMET KAYA,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
9,HOPADAN KG K,3y k  d,KARAÜZÜM,55,H.KAPLAN,GÖRKEM GEDİKOĞLU,﻿Kocaeli,2022-08-16,3,,Kum,English,Tuesday
1.)81.500 TL,2.)32.600 TL,3.)16.300 TL,4.)8.150 TL,1.)18.745 TL,2.)7.498 TL,3.)3.749 TL,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
1,GÖZÜ KARA BATINIM KG SK,3y d  e,MENDIP (USA),58,V.DEMİR,FATİH GÜVEN,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
2,CALIBURN KG SK,3y a  e,DR FONG (USA),58,G.ÖZÇELİK,NACİ KAS,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
3,VICTORY WARRIOR KG SGKR,3y d  e,VICTORY GALLOP (CAN),58 +0.40,M.KAYA,ARMAN OKAN,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
4,DOĞUNUN RÜZGARI KG DB,3y d  e,WIN RIVER WIN (USA),58,K.TOKAÇOĞLU,SERKAN BAYRAM,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
5,WESSINA SK,3y a  d,WIENER WALZER (GER),56 +0.20,M.ÇİÇEK,LEVENT SARIKAYA,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
6,KOCAMAN KIZIM DB SKG SK,3y d  d,LILBOURNE LAD (IRE),56,H.KAPLAN,CAHİT KOCAMAN,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
7,BETELGEUSE KG K DB,3y d  e,WIENER WALZER (GER),58,O.ATMACA,GIYASETTİN ŞEN,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
8,VALEKIZI KG K,3y d  d,MARCAVELLY (USA),54 +1.60,BURAK AKÇAY AP,FEDAİ KAHRAMAN,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
9,MISS WORLD K DB ÖG,3y d  d,MENDIP (USA),56,M.M.BİLGİN,ERAY KOKTAY,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
10,GO ATİK KG SK SGKR,3y d  g,WIN RIVER WIN (USA),58,H.ŞİMŞEK,CEZMİ ATİK,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
11,DESERT REALM KG,3y d  e,TWIRLING CANDY (USA),58,O.ÖZTÜRK,MELİS KURTEL EMİN,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
12,NEW SHINING KG DB SK,3y d  d,TOROK (IRE),54,E.AKTUĞ AP,M. BURAK TINAZ,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
13,ALMESTIN KG DB SK,3y a  d,THREE VALLEYS (USA),52,C.KARADEMİR AP,SEVAL ARICI,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
14,JANIMO DB SKG SK,3y d  e,SCARFACE,56,Y.E.YÜKSEL AP,SEDAT ŞAHİN,﻿Kocaeli,2022-08-16,4,,Kum,English,Tuesday
1.)63.000 TL,2.)25.200 TL,3.)12.600 TL,4.)6.300 TL,1.)10.868 TL,2.)4.347 TL,3.)2.174 TL,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
1,BARTH BOY K DB,5y d  a,HARPUTLU GAGGOŞ,57,G.ÖZÇELİK,HİKMET ALİ ATAMAN,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
2,BATUKANHAN K DB,4y d  a,TOROK (IRE),57,U.BARLIK,ADİL KÖSEOĞLU,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
3,OVER CLOUDS KG K DB,6y d  a,OVERANALYZE (USA),60,E.AKTUĞ AP,UĞUR KURTULUŞ,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
4,TİVATLI KG DB SK,4y a  a,LION HEART (USA),54 +0.10,A.YILDIZ AP,HASAN DİLBER,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
5,SON OF THE KING SK,4y d  a,KANEKO,55 +1.00,BURAK AKÇAY AP,İSMAİL ÖZKAN,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
6,JUSTICE FOR ALL DB,5y d  a,OFFLEE WILD (USA),60,M.KAYA,ELİF KAYA,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
7,PARAMPARÇA K DB,7y a  g,REY DE CAFE (USA),53,C.KARADEMİR AP,MUSTAFA KAAN GÖKÇE,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
8,SER PEHLİVAN KG DB SK,4y d  a,MAXIMUS DREAM,53,A.CEYLAN AP,ŞİRİN DEMİR,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
9,GARONOR SK,4y a  a,LION HEART (USA),60,H.KAPLAN,SANEM KAHRAMAN,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
10,DOTHRAKI DB SK,5y d  a,MARCAVELLY (USA),57,M.ÇİÇEK,FEDAİ KAHRAMAN,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
11,HUMMING TOP KG K DB,4y d  a,BUSHRANGER (IRE),55,F.ARSLAN AP,MURAT ÇELİK,﻿Kocaeli,2022-08-16,5,,Kum,English,Tuesday
