horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)66.000 TL,2.)26.400 TL,3.)13.200 TL,4.)6.600 TL,1.)18.975 TL,2.)7.590 TL,3.)3.795 TL,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
1,LEMİS KG K,3y k  d,TURBO,58,M.G.ARSLAN AP,MEHMET POLAT,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
2,DAMLA KG DB,3y a  d,UÇANOĞLU,57,A.KAÇMAZ,MEHMET DURMAZ,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
3,AKYELE,3y k  d,TURBO,57,A.SÖZEN,SALİH SARIOĞLU,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
4,BENSU KG K,3y a  d,UÇANBEY,57 +0.10,M.BAYDAN,SUPHİ TOYDEMİR,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
5,HAYDE ATİKKIZ KG SK,3y a  d,ATİKBEY,57,M.K.KUMBASAR,MEHMET KARATOPRAK,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
6,KARA HİLAL KG K,3y d  d,ERGÖKÇE,57 +0.90,M.KAYA,BEŞİR KAYA,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
7,SUFLE KG SK,3y k  d,ÖZGÜNHAN,57 +0.10,A.KURŞUN,GÜNSEN SOYUPAK,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
8,UÇAN NİSA SK,3y a  d,UÇANBEY,53,M.N.SUNKAR AP,BEKİR ÜNLÜ,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
9,MACAROVİŞ KG DB SK,3y a  d,KAIZBERT (RU),53 +0.60,N.DEMİR AP,HAKAN ÇELİK,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
10,UÇAN KIZIM KG DB SK,3y k  d,UÇANBEY,57 +0.60,H.İ.AKKAYA,MEHMET CANLIKA,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
11,TATLIM TATLIM KG DB SK,3y k  d,CANGIL,53,SER.YILDIZ AP,HÜSEYİN AKARSU,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
12,PEMBEKIZ KG,3y a  d,KILIÇBAYLIM,53 +2.00,K.DEMİREL AP,MEHMET DOĞAN,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
13,RÜZGARIN FISILTISI KG K DB (Koşmaz),3y k  d,SARRAF,57,M.KESKİN,ABDULGAFUR DEMİRÖRS,﻿Ankara,2021-09-18,1,,Çim,English,Saturday
1.)60.000 TL,2.)24.000 TL,3.)12.000 TL,4.)6.000 TL,1.)17.250 TL,2.)6.900 TL,3.)3.450 TL,﻿Ankara,2021-09-18,2,,Çim,English,Saturday
1,BÜLENT AĞA DB SK,2y a  e,PERFECT STORM,57,O.AKEL AP,SEYFİ ALTIN,﻿Ankara,2021-09-18,2,,Çim,English,Saturday
2,BAVER KIZI DB,2y d  d,KISS OF STEPS,55,M.N.SUNKAR AP,MEHMET UÇAR,﻿Ankara,2021-09-18,2,,Çim,English,Saturday
3,APUS DB SKG SK,2y d  d,MEHMET BORA,50 +0.60,M.A.SOLMAZ,İSA YÜKSEL,﻿Ankara,2021-09-18,2,,Çim,English,Saturday
4,YEL ESTİ K DB,2y d  d,NO LIMITE,54,N.DEMİR AP,RECEP KÜÇÜKÇAY,﻿Ankara,2021-09-18,2,,Çim,English,Saturday
5,MICROTIC KG DB SK,2y d  d,SMART ROBIN (JPN),55 +1.50,H.ÇANAKÇI AP,MEHMET TUFAN,﻿Ankara,2021-09-18,2,,Çim,English,Saturday
6,YENİDÜNYA  K,2y d  d,SCARFACE,55,A.KAÇMAZ,GÜLTEN ÖZBEK,﻿Ankara,2021-09-18,2,,Çim,English,Saturday
