horse_no,horse_name,age,origin,weight,jockey,owner_trainer,starting_position,performance_score,last_6_races,kgs_score,s20_score,eid_score,gny_score,agf_score,venue,file_date
1.)6.280 £,2.)2.947 £,3.)1.472 £,4.)736 £,,,,,,,,,,,,﻿Kempton Park Birleşik Krallık,2025-01-20
1,SHALLOW,4y a k,RAJASINGHE (IRE) - VELVET BAND(VERGLAS (IRE)),"58,5",G WOOD,PHİL CUNNİNGHAM R SPENCER,4,75,,,,,,%12.52(4)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
2,PURE ANGELPURE ANGEL,5y d k,ARDAD (IRE) - BE MY ANGEL,"60,5",A FARRAGHER,THE RACİNG CO-OP JAMES HORTON,3,79,,,,,,%30.17(1)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
3,CINQUE VERDECINQUE VERDE,5y d k,SIOUX NATION (USA) - GREGORIA (IRE),"61,5",W CARSON,"WELLBELOVE, WİLLİAMS A CARROLL",5,81,,,,,,%22.79(2)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
4,MY AWELE (IRE),4y d k,U S NAVY FLAG (USA) - TOTSIYAH (IRE)(DALAKHANI (IRE)),"58,5",D KEENAN,MR I MADUEKE C ALLEN,2,75,,,,,,%12.31(5)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
5,JUST A SPARKJUST A SPARK,5y d k,BUNGLE INTHEJUNGLE (GB) - ONE KISS,61,D PROBERT,NEXT ONES A GREY PAR B MİLLMAN,1,80,,,,,,%22.21(3)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
1.)4.320 £,2.)2.028 £,3.)1.014 £,4.)507 £,,,,,,,,,,,,﻿Kempton Park Birleşik Krallık,2025-01-20
1,BLUE LACED,3y d d,FARHH - ESPADRILLE(DUBAWI (IRE)),58,D PROBERT,SHEİKH HAMDAN BİN MO C JOHNSTON,3,72,,,,,,%42.29(2)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
2,ROMANTIC OPERA (IRE),3y d d,GHAIYYATH (IRE) - SHAREVA (IRE)(RIP VAN WINKLE (IRE)),58,D COSTELLO,GODOLPHIN C APPLEBY,5,0,,,,,,%45.78(1)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
3,LA TRINITE,3y d d,TIME TEST - SILKEN OCEAN(DYNAFORMER (USA)),58,D MUSCUTT,MR J L ROWSELL M MURPHY,6,0,,,,,,%1.63(5)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
