horse_no,horse_name,age,origin,weight,jockey,owner_trainer,starting_position,performance_score,last_6_races,kgs_score,s20_score,eid_score,gny_score,agf_score,venue,file_date
1.)3.140 £,2.)1.473 £,3.)736 £,4.)368 £,,,,,,,,,,,,﻿Wolverhampton Birleşik Krallık,2025-01-20
1,HAWA JUMEIRAHHAWA JUMEIRAH,4y d  a,UNIVERSAL (IRE) - ONE MINUTE (IRE),60,R DA SİLVA,MR ABDULLA AL MANSOO I MOHAMMED,7,55,,,,,,%0(0)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
2,THIS TIME MAYBETHIS TIME MAYBE,4y d  a,TIME TEST - LEONICA,"56,5",N CURRİE,BARRY ROGAN & PARTNE M USHER,5,47,,,,,,%0(0)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
3,STARFIGHTERSTARFIGHTER,9y d  a,SEA THE STARS (IRE) - STARLIT SANDS,61,E GREATREX,LAURENCE BELLMAN M LOUGHNANE,8,54,,,,,,%0(0)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
4,WALK THE MOONWALK THE MOON,5y d  a,SEA THE STARS (IRE) - LADYS FIRST,56,JACK DOUGHTY,SIX PACK A CARROLL,4,47,,,,,,%0(0)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
6,MHAJIM (IRE)MHAJIM K,6y d  a,TEOFILO (IRE) - CAPE MAGIC (IRE),"60,5",J HAYNES,CHELSEA BANHAM PRE T C BANHAM,12,53,,,,,,%0(0)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
8,ABSTRACT (IRE)ABSTRACT,7y a  a,SEA THE STARS (IRE) - SENSE OF PURPOSE (IRE),"57,5",N CALLAN,MR A W CARROLL A CARROLL,6,45,,,,,,%0(0)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
9,MAX OF STARS (FR)MAX OF STARS,5y d k,CLOTH OF STARS (IRE) - MOOIZO (IRE),"61,5",P MULRENNAN,MRS S D PEARSON & OL O PEARS,2,55,,,,,,%0(0)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
11,SPARKLING BELLE (USA),4y d k,CONNECT (USA) - SPARKLING STYLE (USA)(BADGE OF SILVER (USA)),60,W CARVER,MR LAURENCE HOLDER J OSBORNE,10,55,,,,,,%0(0)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
12,SOPHOSC (IRE)SOPHOSC KG (Koşmaz),9y a  a,SOCIETY ROCK (IRE) - ICHIUMA (USA),"61,5",L MORRİS,THE HAREFİELD RACİNG I WİLLİAMS,1,55,,,,,,%0(0)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
