horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1,TREACHEROUSTREACHEROUS,10y d  a,PACO BOY (IRE),"57,5",L MORRİS,WOODHAM WALTER PARTN,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
2,DION BAKER (IRE)DION BAKER YP,5y d  a,RIBCHESTER (IRE),"59,5",TAYLOR FISHER,CARL APPLETON & PETE,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
3,AIDAN ANDABETTINAIDAN ANDABETTIN KG,3y d  e,BLUE POINT (IRE),"57,5",O MURPHY,MR AİDAN CUNNİNGHAM,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
4,PINBALL WIZARD (IRE)PINBALL WIZARD YP,6y d  a,DARK ANGEL (IRE),"57,5",S D BOWEN,MR JOHN NALLEN,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
5,LEGEND OF LEROS (IRE)LEGEND OF LEROS,4y d  a,KUROSHIO (AUS),"58,5",JORDAN WILLIAMS,"BANKS, MCCABE, EVANS",﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
6,RAJWAANRAJWAAN,4y d  a,OASIS DREAM,"57,5",R COAKLEY,MR ALAN J WİLLİAMS,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
7,OKAMI (IRE)OKAMI YP,4y d  a,SHOWCASING,"57,5",W CARSON,MRS P J SHEEN,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
8,HIERARCHY (IRE)HIERARCHY KG DB,5y a  a,MEHMAS (IRE),"61,5",S OSBORNE,DOMINIC GRIFFITHS AN,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
1,SPIRITUALISM (IRE) KG DB,2y d d,INVINCIBLE SPIRIT (IRE),59,H DOYLE,ECLIPSE THOROUGHBRED,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
2,ROGUE BULLET (IRE) KG,2y d e,MEHMAS (IRE),59,L MORRİS,THE ROGUES GALLERY,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
3,RARE CHANGE (IRE)RARE CHANGE YP,2y d  e,MEHMAS (IRE),61,F MARSH,MR M COX AND MR K LA,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
4,CURZON,2y d e,ADVERTISE,"60,5",H DAVİES,MANTON PARK,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
5,FORAGER K,2y d d,SHOWCASING,"58,5",W CARSON,KİLLARNEY GLEN,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
6,NUMBER (IRE),2y d e,MAKE BELIEVE,59,N CALLAN,MR J BUTLER,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
7,FORT AUGUSTUS,2y d e,BLUE POINT (IRE),"61,5",J P SPENCER,MRS FİTRİ HAY,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
8,KOKABAH,2y d d,MEHMAS (IRE),"59,5",S DE SOUSA,EMİRATES PARK PTY LT,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
9,BEAUTIFUL THINGS (IRE),2y d d,PROFITABLE (IRE),"59,5",P BRADLEY,DARE TO DREAM & MART,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
10,CRISTALINO (IRE),2y d d,FASTNET ROCK (AUS),"58,5",DAVİD EGAN,AMO RACİNG LİMİTED,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
11,SKELLIG ISLE,2y d d,MOHAATHER,"61,5",O MURPHY,HOT TO TROT RACİNG 2,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
12,SWEET SONATA,2y a d,SERGEI PROKOFIEV (CAN),61,L EDMUNDS,TOM CHADNEY AND FRİE,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
1,LOCH LEVEN (IRE),2y a d,TEN SOVEREIGNS (IRE),58,OISIN MURPHY,"D REDVERS,WOODSIDE B",﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
2,TRANSPARENT (IRE),2y a e,MEHMAS (IRE),"60,5",FINLEY MARSH,THE TRANSPARENT SYND,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
3,PENFOLDS GRANGE,2y d e,TIME TEST,"59,5",G WOOD,THUNDER FROM DOWN UN,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
4,FOLLOWEROFFASHION (IRE),2y d d,DANDY MAN (IRE),"57,5",H DOYLE,BENEVENTE Iİ,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
5,TOWERLANDS (IRE) KG,2y d e,EARTHLIGHT (IRE),"60,5",S OSBORNE,THE GREDLEY FAMİLY,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
6,STRING OF PEARLS,2y d d,STUDY OF MAN (IRE),58,L MORRİS,MİSS K RAUSİNG,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
7,TOP OF PLEINMONT,2y d e,RECORDER,"55,5",JORDAN WILLIAMS,MR TREVOR GALLIENNE,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
8,KEITH'S STAR,2y d d,LAND FORCE (IRE),"56,5",GİNA MANGAN,MRS DAPHNE FİNCH,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
9,CREST OF LIGHT,2y d e,ZARAK (FR),"60,5",B SAYETTE,CREST RACİNG,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
