horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)37.000 TL,2.)14.800 TL,3.)7.400 TL,4.)3.700 TL,1.)6.383 TL,2.)2.553 TL,3.)1.277 TL,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
1,HASOĞLUM SK,3y d  e,PAPA CLEM (USA),60,M.A.AKTÜRK,ERKAN YILDIRIM,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
2,INTERCEPTOR SK,3y d  e,STROMWOLF,"53,5",C.TEPE,HÜSEYİN ŞİMŞEK,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
3,ANADOLU ESERİ DB SK,3y d  d,VICTORY GALLOP (CAN),"60,5",F.YARDIMCI,MEHMET KAYA,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
4,ANGEL OF SAND K DB SKG,3y d  d,GENERAL QUARTERS (USA),59 +0.10,MEH.TAŞKAYA,SEMRA ERKUŞ,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
5,SÜPER SEDA KG DB SK,3y d  d,DAI JIN (GB),"54,5",B.SARIDAL AP,BİŞAR ÇELİK,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
6,SÜPER SITARA K DB,3y d  d,TALIP HAN (IRE),"54,5 +0.70",Y.ÇELİKBAŞ AP,SALİH ÇİZİK,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
7,GÖKYILDIZ SK,3y d  e,EL CORREDOR (USA),56 +1.20,İ.KATAR AP,MEHMET EMİN DEMİRKAPU,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
8,ZAFİREM KG DB SK,3y a  d,BAWiKAL,57,B.BEKTAŞ,MEHMET GÜMÜŞKOLAN,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
9,DELİ ENGİN KG DB SK,3y d  e,SERHAS,58,H.ALTUNDAĞ AP,ÖMER YARDIMCI,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
10,KEREM KHAN DB SKG SK,3y d  e,HAKEEM (USA),"58,5",M.DOĞAN,İMAT BOZDOĞANLI,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
11,RACING BULL DB SKG SK,3y d  e,IŞIKHÜZMESİ,58,H.ALTUNKILIÇ,HÜSEYİN BECENE,﻿Elazığ,2022-04-27,1,,Kum,English,Wednesday
1.)50.500 TL,2.)20.200 TL,3.)10.100 TL,4.)5.050 TL,1.)14.519 TL,2.)5.808 TL,3.)2.904 TL,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
1,TUMBUL SANCAR KG K,3y k  e,ŞİMŞEĞİNOĞLU,57,H.ALTUNKILIÇ,İSMAİL SANCAR,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
2,PEKBARAN K,3y k  e,HÜSMEN,55 +1.60,M.E.DOĞAN AP,ERKUT ŞAHİN,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
3,MUŞFATİHİ KG K,3y a  e,SARRAF,57,N.ALTIN,KUTBETTİN SAÇAN,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
4,HÜMEYRA HANIM KG SK,3y a  d,HÜSMEN,55,C.TEPE,ERKUT ŞAHİN,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
5,OĞLUM ARAS KG K DB,3y k  e,ŞİMŞEĞİNOĞLU,54 +2.00,M.CANPOLAT AP,İLHAN GÜRLER,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
6,HIZLI ÇİKO K,3y k  d,EFEM,55 +2.00,İ.KATAR AP,İBRAHİM CANLIKA,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
7,FİLKIZI KG K,3y k  d,ALMAATA,55 +0.50,M.A.AKTÜRK,İBRAHİM ŞEKER,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
8,SERHANŞAH KG SK,3y k  e,BATURŞAH,55 +0.80,H.ALTUNDAĞ AP,SABRİ DEMİR,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
9,ÜMİDİM SENSİN KG SK,3y a  e,BERKAY EFE,57,M.DOĞAN,ABDULVAHİT SUNKAR,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
10,SALUCAN KIZ KG K,3y k  d,BERKAY EFE,51 +0.80,B.SARIDAL AP,MUSTAFA ÇEÇAN,﻿Elazığ,2022-04-27,2,,Kum,English,Wednesday
1.)29.000 TL,2.)11.600 TL,3.)5.800 TL,4.)2.900 TL,1.)5.003 TL,2.)2.001 TL,3.)1.001 TL,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
1,INTO KG DB SK,6y d  a,KANEKO,56 +0.60,F.YARDIMCI,GURBET ALTIN,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
2,KUMLUBEL KG K,4y k  a,DEHA,55 +2.00,H.ALTUNKILIÇ,AHMET TADIK,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
3,RACE MASTER KG SK,4y d  a,NATIVE KHAN (FR),54 +2.00,A.ÇANKAYA AP,REŞİT KARAKEÇİLİ,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
4,MİRTAY DB SK,5y d  g,SMART ROBIN (JPN),53 +1.90,F.FELHAN AP,AHMET TADIK,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
5,DOTHRAKI K DB,5y d  a,MARCAVELLY (USA),56 +0.30,MEH.TAŞKAYA,FEDAİ KAHRAMAN,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
6,WEST GROVE KG DB SK,8y d  a,ROYAL ABJAR (USA),57,M.CANPOLAT AP,MUZAFFER NECEF,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
7,CHASING LOVE DB SKG SK,4y d  a,SMART ROBIN (JPN),55 +2.00,M.DOĞAN,REFİK ÇEVİK,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
8,EXTRAVAGANT KG K,5y a  a,LION HEART (USA),54 +1.30,Y.ÇELİKBAŞ AP,MEHMET DEMİR,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
9,BABA NASUHİ KG DB SK,4y d  a,MAXIMUS DREAM,55 +2.00,İ.KATAR AP,MUZAFFER NECEF,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
10,KARA YAŞAR SK,5y d  a,VENTO,54 +1.80,H.ALTUNDAĞ AP,MEHMET EMİN DEMİRKAPU,﻿Elazığ,2022-04-27,3,,Kum,English,Wednesday
1.)50.500 TL,2.)20.200 TL,3.)10.100 TL,4.)5.050 TL,1.)14.519 TL,2.)5.808 TL,3.)2.904 TL,﻿Elazığ,2022-04-27,4,,Kum,English,Wednesday
1,BERKAY FIRTINASI KG K,3y k  e,BERKAY EFE,57 +0.30,B.BEKTAŞ,ALİ ŞEŞEN,﻿Elazığ,2022-04-27,4,,Kum,English,Wednesday
2,GÖMEÇ K,3y a  d,DEMİRDÖVEN,53 +1.90,F.FELHAN AP,MEHMET CANLIKA,﻿Elazığ,2022-04-27,4,,Kum,English,Wednesday
3,ŞAH KAYRA KG SK,3y k  e,UÇANOĞLU,57,M.A.AKTÜRK,CEMİL ÇİZİK,﻿Elazığ,2022-04-27,4,,Kum,English,Wednesday
