horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)54.000 TL,2.)21.600 TL,3.)10.800 TL,4.)5.400 TL,1.)9.315 TL,2.)3.726 TL,3.)1.863 TL,﻿Bursa,2021-08-27,1,,Kum,English,Friday
1,FIRECRACKER KG DB SK GKR,3y d  e,THREE VALLEYS (USA),58,M.AKYAVUZ,ERDEM BEKMEZCİ,﻿Bursa,2021-08-27,1,,Kum,English,Friday
2,GÜNEŞKIZ KG SK,3y d  d,BUSHRANGER (IRE),56 +1.00,N.ŞEN,MEHMET GÜZEL,﻿Bursa,2021-08-27,1,,Kum,English,Friday
3,BUZ FIRTINASI KG K DB,3y d  e,PERFECT STORM,57,F.HİM AP,BÜLENT BAYBURAN,﻿Bursa,2021-08-27,1,,Kum,English,Friday
4,CHARLIEBOY KG K,3y d  e,MYBOYCHARLIE (IRE),57,Y.E.YÜKSEL AP,H.TARIK DİKENCİK,﻿Bursa,2021-08-27,1,,Kum,English,Friday
5,KAPTAN EMRE KG DB SK,3y a  e,OĞLUMEMRE,58,O.ATMACA,DİLEK BURAN,﻿Bursa,2021-08-27,1,,Kum,English,Friday
6,KÖRPENİN OĞLU DB SKG SK,3y d  e,APPROVE (IRE),54 +0.80,S.ÇETİN,MEFTUNE KÜRPE,﻿Bursa,2021-08-27,1,,Kum,English,Friday
1.)54.000 TL,2.)21.600 TL,3.)10.800 TL,4.)5.400 TL,1.)9.315 TL,2.)3.726 TL,3.)1.863 TL,﻿Bursa,2021-08-27,2,,Kum,English,Friday
1,EMİRSOY KG K,7y k  a,KOBRA,58,M.M.BİLGİN AP,YUSUF KARAKOÇ,﻿Bursa,2021-08-27,2,,Kum,English,Friday
2,BATMANASLANI KG SK GKR,8y k  a,TAMERİNOĞLU,60,T.YILDIZ,VELİ AKBULUT,﻿Bursa,2021-08-27,2,,Kum,English,Friday
3,BATINHAN DB SKG SK,8y d  a,EMAEL (PL),54 +1.20,A.İNCİ AP,S.BEDRİ GİDER,﻿Bursa,2021-08-27,2,,Kum,English,Friday
4,BABAMENDUH KG DB GKR,9y a  a,GÖKTUNA,56 +0.10,O.YILDIZ,AHMET KAYA,﻿Bursa,2021-08-27,2,,Kum,English,Friday
5,BÖLÜKBEY KG DB,5y k  a,BİLGİN,56 +0.10,H.KAPLAN,ZEYNEP DOĞANAY ÇİLEK,﻿Bursa,2021-08-27,2,,Kum,English,Friday
6,İZTAN KG,6y k  a,ŞİMŞEĞİNOĞLU,60,İ.H.KETME,A.LAMİ KARAÇİZMELİ,﻿Bursa,2021-08-27,2,,Kum,English,Friday
7,TAŞRALI KG DB,7y a  a,KARAKEMAL,58,S.İPEK,ABDİ ARSLAN,﻿Bursa,2021-08-27,2,,Kum,English,Friday
8,GÜÇLÜKAN KG K DB,5y k  a,BALIKHAN,60,N.ŞEN,İ.SUAT KUTLU,﻿Bursa,2021-08-27,2,,Kum,English,Friday
