horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1,LONG MAYSHE REIGN (USA),4y a k,STANFORD,56,RICARDO GONZALEZ,"FREEMAN, DAN AND FRE",﻿Santa Anita Park ABD,2024-12-27,1,,Çim,English,Friday
2,CERTITUDE (FR),3y a  d,CITY LIGHT (FR),"55,5",JOEL ROSARIO,HRONIS RACING LLC,﻿Santa Anita Park ABD,2024-12-27,1,,Çim,English,Friday
3,AVOIR (USA),3y a  d,MORE THAN READY,"55,5",JUAN J. HERNANDEZ,"PETER REDEKOP B. C.,",﻿Santa Anita Park ABD,2024-12-27,1,,Çim,English,Friday
4,IRISH ROSE (USA),4y d k,IRISH SURF,56,MIKE E. SMITH,THOR-BRED STABLES LL,﻿Santa Anita Park ABD,2024-12-27,1,,Çim,English,Friday
5,PINK WHITNEY (USA),3y d  d,LIAM'S MAP,"55,5",LANFRANCO DETTORI,THE DEL MAR GROUP,﻿Santa Anita Park ABD,2024-12-27,1,,Çim,English,Friday
6,SHOP TILL YOU DROP (USA),3y d  d,FREE DROP BILLY,"55,5",KAZUSHI KIMURA,CALIFORNIA RACING PA,﻿Santa Anita Park ABD,2024-12-27,1,,Çim,English,Friday
7,JENNIFER'S D'LIGHT (USA),4y d k,CITY OF LIGHT (FR),56,FLAVIEN PRAT,"WARREN, JR., WILLIAM",﻿Santa Anita Park ABD,2024-12-27,1,,Çim,English,Friday
1,MONGOLIAN MAX (USA),3y k  e,CITY OF LIGHT (FR),53,WELFIN R. ORANTES,MONGOLIAN STABLE,﻿Santa Anita Park ABD,2024-12-27,2,,Kum,English,Friday
2,SHE BE BOSS (USA),3y a  d,CITY OF LIGHT (FR),54,ADRIAN ESCOBEDO,C T R STABLES LLC,﻿Santa Anita Park ABD,2024-12-27,2,,Kum,English,Friday
3,SILVER N BLACK (USA),4y k  a,STRAIGHT FIRE,"56,5",EDWIN A. MALDONADO,"WHITE FENCE LLC,  BU",﻿Santa Anita Park ABD,2024-12-27,2,,Kum,English,Friday
4,ARROMAX (USA),4y d  a,ARROGATE,"56,5",VICTOR ESPINOZA,"KNAPP, STEVE R., ROM",﻿Santa Anita Park ABD,2024-12-27,2,,Kum,English,Friday
5,MISCHIEF MOMENTS (USA),3y d  e,MAXIMUS MISCHIEF,"55,5",ABEL LEZCANO,GARY J. FOLGNER,﻿Santa Anita Park ABD,2024-12-27,2,,Kum,English,Friday
6,FAST SERVICE (USA),4y a  a,FAST ANNA,"56,5",ASSAEL ESPINOZA,"MCCANNA, TIM AND MAR",﻿Santa Anita Park ABD,2024-12-27,2,,Kum,English,Friday
7,CAUGHT IN THE DARK (USA),3y k  e,GRAYDAR,"55,5",EDGAR PAYERAS,"MADSEN, LINDA L. AND",﻿Santa Anita Park ABD,2024-12-27,2,,Kum,English,Friday
1,BIG MAMA SUE (USA),6y a k,MR. BIG,56,FLAVIEN PRAT,"ORANGE S RACING LLC,",﻿Santa Anita Park ABD,2024-12-27,3,,Çim,English,Friday
2,ELEGANT SWAY (USA),4y d k,MAJESTIC HARBOR,56,EPIFANIO GARCIA,"MCINTYRE, JAMES AND",﻿Santa Anita Park ABD,2024-12-27,3,,Çim,English,Friday
3,TIERGARTEN (USA),6y d k,ENGLISH CHANNEL,56,UMBERTO RISPOLI,"DAVIS RACING LLC, GI",﻿Santa Anita Park ABD,2024-12-27,3,,Çim,English,Friday
4,CHASINGSERENDIPITY (USA),6y d k,VANCOUVER (AUS),53,SERAFIN CARMONA,"GRAVES, STEPHANIE, P",﻿Santa Anita Park ABD,2024-12-27,3,,Çim,English,Friday
5,CAROLE LOMBARD (USA),4y a k,GRAZEN,56,ARMANDO AYUSO,NICHOLAS B. ALEXANDE,﻿Santa Anita Park ABD,2024-12-27,3,,Çim,English,Friday
6,HIGHLANDS (USA),3y a  d,AUDIBLE,"54,5",TYLER BAZE,GLENN J TERRY,﻿Santa Anita Park ABD,2024-12-27,3,,Çim,English,Friday
1,MARCH OF TIME (USA),3y d  e,JUSTIFY,"55,5",JUAN J. HERNANDEZ,BREGMAN FAMILY RACIN,﻿Santa Anita Park ABD,2024-12-27,3,,Çim,English,Friday
